,
1,Ama Qamata Khosi Ngema Gail Mabalane Thabang Molaba Dillon Windvogel Natasha Thahane Arno Greeff Xolile Tshabalala Getmore Sithole Cindy Mahlangu Ryle De Morny Greteli Fincham Sello Maake Ka-Ncube Odwa Gwanya Mekaila Mathys Sandi Schultz Duane Williams Shamilla Miller Patrick Mofokeng
2,Sami Bouajila Tracy Gotoas Samuel Jouy Nabiha Akkari Sofia Lesaffre Salim Kechiouche Noureddine Farihi Geert Van Rampelberg Bakary Diombera
3,
4,Mayur More Jitendra Kumar Ranjan Raj Alam Khan Ahsaas Channa Revathi Pillai Urvi Singh Arun Kumar
5,Kate Siegel Zach Gilford Hamish Linklater Henry Thomas Kristin Lehman Samantha Sloyan Igby Rigney Rahul Kohli Annarah Cymone Annabeth Gish Alex Essoe Rahul Abburi Matt Biedel Michael Trucco Crystal Balint Louis Oliver
6,Vanessa Hudgens Kimiko Glenn James Marsden Sofia Carson Liza Koshy Ken Jeong Elizabeth Perkins Jane Krakowski Michael McKean Phil LaMarr
7,Kofi Ghanaba Oyafunmike Ogunlano Alexandra Duah Nick Medley Mutabaruka Afemo Omilami Reggie Carter Mzuri
8,Mel Giedroyc Sue Perkins Mary Berry Paul Hollywood
9,Melissa McCarthy Chris O'Dowd Kevin Kline Timothy Olyphant Daveed Diggs Skyler Gisondo Laura Harrier Rosalind Chao Kimberly Quinn Loretta Devine Ravi Kapoor
10,
11,Sukollawat Kanarot Sushar Manaying Pavarit Mongkolpisit Sahajak Boonthanakit Suthipongse Thatphithakkul Bhasaworn Bawronkirati Daweerit Chullasapya Waratthaya Wongchayaporn Kittiphoom Wongpentak Abhicha Thanachanun Nophand Boonyai Kittipong Khamsat Arisara Wongchalee Jaytiya Naiwattanakul Pantipa Arunwattanachai Panupan Jantanawong Kungtap Saelim Phumphat Chartsuriyakiat Issara Veranitinunt Keerati Sivakuae Panjai Sirisuwan Supranee Charoenpol Suda Chuenban Visaka Banhansupavat Pitchatorn Santinatornkul
